"","date","ccg_id","name","items","cost","list_size","covid_period"
"208","2019-04-01","Y62","NORTH WEST COMMISSIONING REGION","103633","701742.33","7509548","pre-covid year 1"
"209","2019-04-01","Y63","NORTH EAST AND YORKSHIRE COMMISSIONING REGION","132819","849950.26","9003181","pre-covid year 1"
"210","2019-04-01","Y58","SOUTH WEST COMMISSIONING REGION","89192","572732.49","5828715","pre-covid year 1"
"211","2019-05-01","Y56","LONDON COMMISSIONING REGION","71464","590688.58","10082115","pre-covid year 1"
"212","2019-05-01","Y59","SOUTH EAST COMMISSIONING REGION","112168","853828.61","9336102","pre-covid year 1"
"213","2019-05-01","Y60","MIDLANDS COMMISSIONING REGION","150825","1015505.06","11141166","pre-covid year 1"
"214","2019-05-01","Y61","EAST OF ENGLAND COMMISSIONING REGION","95777","692455.87","6893111","pre-covid year 1"
"215","2019-05-01","Y62","NORTH WEST COMMISSIONING REGION","107151","730572.55","7513782","pre-covid year 1"
"216","2019-05-01","Y63","NORTH EAST AND YORKSHIRE COMMISSIONING REGION","136417","880217.51","9005477","pre-covid year 1"
"217","2019-05-01","Y58","SOUTH WEST COMMISSIONING REGION","91098","591789.85","5832593","pre-covid year 1"
"218","2019-06-01","Y56","LONDON COMMISSIONING REGION","65959","653238.91","10101923","pre-covid year 1"
"219","2019-06-01","Y59","SOUTH EAST COMMISSIONING REGION","104503","976178.51","9342452","pre-covid year 1"
"220","2019-06-01","Y60","MIDLANDS COMMISSIONING REGION","140793","1150357.48","11147881","pre-covid year 1"
"221","2019-06-01","Y61","EAST OF ENGLAND COMMISSIONING REGION","87675","767725","6899346","pre-covid year 1"
"222","2019-06-01","Y62","NORTH WEST COMMISSIONING REGION","97713","788375.17","7518893","pre-covid year 1"
"223","2019-06-01","Y63","NORTH EAST AND YORKSHIRE COMMISSIONING REGION","125253","977361.08","9007147","pre-covid year 1"
"224","2019-06-01","Y58","SOUTH WEST COMMISSIONING REGION","83990","680354.07","5836413","pre-covid year 1"
"225","2019-07-01","Y56","LONDON COMMISSIONING REGION","70384","651693.02","10119444","pre-covid year 1"
"226","2019-07-01","Y59","SOUTH EAST COMMISSIONING REGION","105853","895499.47","9349320","pre-covid year 1"
"227","2019-07-01","Y60","MIDLANDS COMMISSIONING REGION","145843","1088863.74","11154319","pre-covid year 1"
"228","2019-07-01","Y61","EAST OF ENGLAND COMMISSIONING REGION","91312","742598.59","6905735","pre-covid year 1"
"229","2019-07-01","Y62","NORTH WEST COMMISSIONING REGION","102579","770852.25","7523105","pre-covid year 1"
"230","2019-07-01","Y58","SOUTH WEST COMMISSIONING REGION","83699","618714.88","5839268","pre-covid year 1"
"231","2019-07-01","Y63","NORTH EAST AND YORKSHIRE COMMISSIONING REGION","130707","933276.34","9009049","pre-covid year 1"
"232","2019-08-01","Y56","LONDON COMMISSIONING REGION","65694","679309.45","10141919","pre-covid year 1"
"233","2019-08-01","Y59","SOUTH EAST COMMISSIONING REGION","107599","1079841.38","9357428","pre-covid year 1"
"234","2019-08-01","Y60","MIDLANDS COMMISSIONING REGION","144800","1299368.94","11160517","pre-covid year 1"
"235","2019-08-01","Y61","EAST OF ENGLAND COMMISSIONING REGION","90557","857231.46","6914557","pre-covid year 1"
"236","2019-08-01","Y62","NORTH WEST COMMISSIONING REGION","98711","878099.63","7528327","pre-covid year 1"
"237","2019-08-01","Y63","NORTH EAST AND YORKSHIRE COMMISSIONING REGION","129795","1102874.77","9011403","pre-covid year 1"
"238","2019-08-01","Y58","SOUTH WEST COMMISSIONING REGION","86177","765528.86","5842583","pre-covid year 1"
"239","2019-09-01","Y56","LONDON COMMISSIONING REGION","67416","606957.12","10158323","pre-covid year 1"
"240","2019-09-01","Y59","SOUTH EAST COMMISSIONING REGION","107055","871165.2","9365584","pre-covid year 1"
"241","2019-09-01","Y61","EAST OF ENGLAND COMMISSIONING REGION","89921","715995.69","6920595","pre-covid year 1"
"242","2019-09-01","Y60","MIDLANDS COMMISSIONING REGION","145950","1056377.17","11167419","pre-covid year 1"
"243","2019-09-01","Y62","NORTH WEST COMMISSIONING REGION","103288","719565.48","7532454","pre-covid year 1"
"244","2019-09-01","Y63","NORTH EAST AND YORKSHIRE COMMISSIONING REGION","131779","910916.94","9014470","pre-covid year 1"
"245","2019-09-01","Y58","SOUTH WEST COMMISSIONING REGION","86556","625758.69","5846320","pre-covid year 1"
"246","2019-10-01","Y56","LONDON COMMISSIONING REGION","77289","633386.66","10181822","pre-covid year 1"
"247","2019-10-01","Y59","SOUTH EAST COMMISSIONING REGION","123091","951162.56","9383051","pre-covid year 1"
"248","2019-10-01","Y61","EAST OF ENGLAND COMMISSIONING REGION","102821","739414.41","6923803","pre-covid year 1"
"249","2019-10-01","Y60","MIDLANDS COMMISSIONING REGION","168709","1125056.02","11194076","pre-covid year 1"
"250","2019-10-01","Y62","NORTH WEST COMMISSIONING REGION","119640","788890.7","7548792","pre-covid year 1"
"251","2019-10-01","Y63","NORTH EAST AND YORKSHIRE COMMISSIONING REGION","152158","967428.28","9036072","pre-covid year 1"
"252","2019-10-01","Y58","SOUTH WEST COMMISSIONING REGION","98644","675733.91","5854890","pre-covid year 1"
"253","2019-11-01","Y56","LONDON COMMISSIONING REGION","76186","611732.2","10213538","pre-covid year 1"
"254","2019-11-01","Y59","SOUTH EAST COMMISSIONING REGION","120675","902051.14","9395040","pre-covid year 1"
"255","2019-11-01","Y61","EAST OF ENGLAND COMMISSIONING REGION","100222","717407.94","6932281","pre-covid year 1"
"256","2019-11-01","Y60","MIDLANDS COMMISSIONING REGION","162689","1068815.36","11209692","pre-covid year 1"
"257","2019-11-01","Y62","NORTH WEST COMMISSIONING REGION","117012","754919.57","7560393","pre-covid year 1"
"258","2019-11-01","Y63","NORTH EAST AND YORKSHIRE COMMISSIONING REGION","146991","923366.37","9049182","pre-covid year 1"
"259","2019-11-01","Y58","SOUTH WEST COMMISSIONING REGION","95641","630588.43","5863157","pre-covid year 1"
"260","2019-12-01","Y56","LONDON COMMISSIONING REGION","80354","616078.81","10235623","pre-covid year 1"
"261","2019-12-01","Y59","SOUTH EAST COMMISSIONING REGION","129058","950979.48","9401836","pre-covid year 1"
"262","2019-12-01","Y61","EAST OF ENGLAND COMMISSIONING REGION","110035","754295.65","6943072","pre-covid year 1"
"263","2019-12-01","Y60","MIDLANDS COMMISSIONING REGION","178251","1144655.16","11216390","pre-covid year 1"
"264","2019-12-01","Y62","NORTH WEST COMMISSIONING REGION","127171","791234.89","7566741","pre-covid year 1"
"265","2019-12-01","Y63","NORTH EAST AND YORKSHIRE COMMISSIONING REGION","160537","979508.38","9053960","pre-covid year 1"
"266","2019-12-01","Y58","SOUTH WEST COMMISSIONING REGION","104608","674521.94","5868951","pre-covid year 1"
"267","2020-01-01","Y56","LONDON COMMISSIONING REGION","80107","620371.49","10249920","pre-covid year 1"
"268","2020-01-01","Y59","SOUTH EAST COMMISSIONING REGION","126952","929657.85","9405869","pre-covid year 1"
"269","2020-01-01","Y60","MIDLANDS COMMISSIONING REGION","174496","1120874.03","11219661","pre-covid year 1"
"270","2020-01-01","Y61","EAST OF ENGLAND COMMISSIONING REGION","108329","763242.03","6948512","pre-covid year 1"
"271","2020-01-01","Y62","NORTH WEST COMMISSIONING REGION","123308","784956.44","7571377","pre-covid year 1"
"272","2020-01-01","Y63","NORTH EAST AND YORKSHIRE COMMISSIONING REGION","157052","970038.32","9053002","pre-covid year 1"
"273","2020-01-01","Y58","SOUTH WEST COMMISSIONING REGION","103281","664412.07","5874580","pre-covid year 1"
"274","2020-02-01","Y56","LONDON COMMISSIONING REGION","69587","531309.93","10269606","pre-covid year 1"
"275","2020-02-01","Y59","SOUTH EAST COMMISSIONING REGION","110739","830949.18","9413643","pre-covid year 1"
"276","2020-02-01","Y60","MIDLANDS COMMISSIONING REGION","146859","973624.81","11225545","pre-covid year 1"
"277","2020-02-01","Y62","NORTH WEST COMMISSIONING REGION","101186","679543.31","7577418","pre-covid year 1"
"278","2020-02-01","Y61","EAST OF ENGLAND COMMISSIONING REGION","93447","662656.66","6955178","pre-covid year 1"
"279","2020-02-01","Y63","NORTH EAST AND YORKSHIRE COMMISSIONING REGION","129236","829151.33","9056856","pre-covid year 1"
"280","2020-02-01","Y58","SOUTH WEST COMMISSIONING REGION","87420","591916.37","5878589","pre-covid year 1"
"281","2020-03-01","Y56","LONDON COMMISSIONING REGION","85180","669165.06","10288179","pre-covid year 1"
"282","2020-03-01","Y59","SOUTH EAST COMMISSIONING REGION","134874","1019401.71","9419119","pre-covid year 1"
"283","2020-03-01","Y60","MIDLANDS COMMISSIONING REGION","178976","1210438.56","11232943","pre-covid year 1"
"284","2020-03-01","Y61","EAST OF ENGLAND COMMISSIONING REGION","111838","785662.58","6961441","pre-covid year 1"
"285","2020-03-01","Y62","NORTH WEST COMMISSIONING REGION","128259","830078.64","7583732","pre-covid year 1"
"286","2020-03-01","Y63","NORTH EAST AND YORKSHIRE COMMISSIONING REGION","159284","1018054.14","9059745","pre-covid year 1"
"287","2020-03-01","Y58","SOUTH WEST COMMISSIONING REGION","105683","720636.9","5883113","pre-covid year 1"
"288","2020-04-01","Y56","LONDON COMMISSIONING REGION","67338","500585.5","10298573","covid year 1"
"289","2020-04-01","Y59","SOUTH EAST COMMISSIONING REGION","101877","731803.18","9423436","covid year 1"
"290","2020-04-01","Y60","MIDLANDS COMMISSIONING REGION","132695","861744.57","11236520","covid year 1"
"291","2020-04-01","Y61","EAST OF ENGLAND COMMISSIONING REGION","85357","589870.06","6965534","covid year 1"
"292","2020-04-01","Y62","NORTH WEST COMMISSIONING REGION","95089","588415.19","7586757","covid year 1"
"293","2020-04-01","Y63","NORTH EAST AND YORKSHIRE COMMISSIONING REGION","118587","720557.06","9060520","covid year 1"
"294","2020-04-01","Y58","SOUTH WEST COMMISSIONING REGION","79418","506124.99","5886551","covid year 1"
"295","2020-05-01","Y56","LONDON COMMISSIONING REGION","56686","438457.94","10287897","covid year 1"
"296","2020-05-01","Y59","SOUTH EAST COMMISSIONING REGION","87076","669839.9","9417226","covid year 1"
"297","2020-05-01","Y60","MIDLANDS COMMISSIONING REGION","113630","768450.87","11225947","covid year 1"
"298","2020-05-01","Y62","NORTH WEST COMMISSIONING REGION","78573","527039.61","7580118","covid year 1"
"299","2020-05-01","Y61","EAST OF ENGLAND COMMISSIONING REGION","74480","540195.3","6961503","covid year 1"
"300","2020-05-01","Y63","NORTH EAST AND YORKSHIRE COMMISSIONING REGION","101698","645579","9050822","covid year 1"
"301","2020-05-01","Y58","SOUTH WEST COMMISSIONING REGION","69187","462729.87","5883971","covid year 1"
"302","2020-06-01","Y56","LONDON COMMISSIONING REGION","58940","482786.55","10288312","covid year 1"
"303","2020-06-01","Y59","SOUTH EAST COMMISSIONING REGION","90440","700447.3","9416392","covid year 1"
"304","2020-06-01","Y60","MIDLANDS COMMISSIONING REGION","119835","823656.77","11222173","covid year 1"
"305","2020-06-01","Y62","NORTH WEST COMMISSIONING REGION","82143","574950.87","7578507","covid year 1"
"306","2020-06-01","Y61","EAST OF ENGLAND COMMISSIONING REGION","76491","565730.39","6962172","covid year 1"
"307","2020-06-01","Y63","NORTH EAST AND YORKSHIRE COMMISSIONING REGION","108138","713631.57","9046696","covid year 1"
"308","2020-06-01","Y58","SOUTH WEST COMMISSIONING REGION","71925","499791.67","5883191","covid year 1"
"309","2020-07-01","Y56","LONDON COMMISSIONING REGION","59531","461785.91","10293084","covid year 1"
"310","2020-07-01","Y59","SOUTH EAST COMMISSIONING REGION","94122","710290.51","9419150","covid year 1"
"311","2020-07-01","Y60","MIDLANDS COMMISSIONING REGION","123585","824949.74","11222346","covid year 1"
"312","2020-07-01","Y61","EAST OF ENGLAND COMMISSIONING REGION","78903","563518.37","6966582","covid year 1"
"313","2020-07-01","Y62","NORTH WEST COMMISSIONING REGION","86821","573476.88","7580219","covid year 1"
"314","2020-07-01","Y63","NORTH EAST AND YORKSHIRE COMMISSIONING REGION","111860","705049.31","9047031","covid year 1"
"315","2020-07-01","Y58","SOUTH WEST COMMISSIONING REGION","74300","487784.51","5884362","covid year 1"
"316","2020-08-01","Y56","LONDON COMMISSIONING REGION","53946","429385.2","10294170","covid year 1"
"317","2020-08-01","Y59","SOUTH EAST COMMISSIONING REGION","85130","644719.43","9421471","covid year 1"
"318","2020-08-01","Y60","MIDLANDS COMMISSIONING REGION","112324","740517.25","11221697","covid year 1"
"319","2020-08-01","Y62","NORTH WEST COMMISSIONING REGION","78541","511600.02","7581962","covid year 1"
"320","2020-08-01","Y61","EAST OF ENGLAND COMMISSIONING REGION","72897","510713.32","6970952","covid year 1"
"321","2020-08-01","Y63","NORTH EAST AND YORKSHIRE COMMISSIONING REGION","102227","638296.93","9046882","covid year 1"
"322","2020-08-01","Y58","SOUTH WEST COMMISSIONING REGION","67691","448013.08","5884877","covid year 1"
"323","2020-09-01","Y56","LONDON COMMISSIONING REGION","62328","463120.45","10285919","covid year 1"
"324","2020-09-01","Y59","SOUTH EAST COMMISSIONING REGION","97581","713085.55","9420488","covid year 1"
"325","2020-09-01","Y61","EAST OF ENGLAND COMMISSIONING REGION","82724","569377.8","6972405","covid year 1"
"326","2020-09-01","Y60","MIDLANDS COMMISSIONING REGION","134418","860131.27","11221348","covid year 1"
"327","2020-09-01","Y62","NORTH WEST COMMISSIONING REGION","93808","573582.74","7582340","covid year 1"
"328","2020-09-01","Y58","SOUTH WEST COMMISSIONING REGION","77335","489590.22","5886321","covid year 1"
"329","2020-09-01","Y63","NORTH EAST AND YORKSHIRE COMMISSIONING REGION","120455","733852.85","9047421","covid year 1"
"330","2020-10-01","Y56","LONDON COMMISSIONING REGION","64331","466976.67","10289555","covid year 1"
"331","2020-10-01","Y59","SOUTH EAST COMMISSIONING REGION","101130","710807.78","9428987","covid year 1"
"332","2020-10-01","Y60","MIDLANDS COMMISSIONING REGION","135142","809791.63","11236288","covid year 1"
"333","2020-10-01","Y61","EAST OF ENGLAND COMMISSIONING REGION","85307","569805.55","6975260","covid year 1"
"334","2020-10-01","Y62","NORTH WEST COMMISSIONING REGION","97439","586631.95","7588763","covid year 1"
"335","2020-10-01","Y63","NORTH EAST AND YORKSHIRE COMMISSIONING REGION","123053","711383.62","9057554","covid year 1"
"336","2020-10-01","Y58","SOUTH WEST COMMISSIONING REGION","80423","499007.76","5892782","covid year 1"
"337","2020-11-01","Y56","LONDON COMMISSIONING REGION","60842","443241.37","10302791","covid year 1"
"338","2020-11-01","Y59","SOUTH EAST COMMISSIONING REGION","96274","692810.6","9436081","covid year 1"
"339","2020-11-01","Y60","MIDLANDS COMMISSIONING REGION","127928","799779.92","11245580","covid year 1"
"340","2020-11-01","Y61","EAST OF ENGLAND COMMISSIONING REGION","81035","547785.58","6982273","covid year 1"
"341","2020-11-01","Y62","NORTH WEST COMMISSIONING REGION","89086","529938.59","7595274","covid year 1"
"342","2020-11-01","Y58","SOUTH WEST COMMISSIONING REGION","75321","478002.8","5898441","covid year 1"
"343","2020-11-01","Y63","NORTH EAST AND YORKSHIRE COMMISSIONING REGION","115872","689413.32","9067039","covid year 1"
"344","2020-12-01","Y56","LONDON COMMISSIONING REGION","65909","478247.43","10314558","covid year 1"
"345","2020-12-01","Y59","SOUTH EAST COMMISSIONING REGION","103923","741833.68","9442028","covid year 1"
"346","2020-12-01","Y60","MIDLANDS COMMISSIONING REGION","136413","851933.64","11250943","covid year 1"
"347","2020-12-01","Y61","EAST OF ENGLAND COMMISSIONING REGION","88440","596021.34","6988507","covid year 1"
"348","2020-12-01","Y62","NORTH WEST COMMISSIONING REGION","96851","587797.84","7599754","covid year 1"
"349","2020-12-01","Y58","SOUTH WEST COMMISSIONING REGION","80170","508664.08","5904635","covid year 1"
"350","2020-12-01","Y63","NORTH EAST AND YORKSHIRE COMMISSIONING REGION","123554","720362.5","9068980","covid year 1"
"351","2021-01-01","Y56","LONDON COMMISSIONING REGION","63654","419598.86","10325878","covid year 1"
"352","2021-01-01","Y59","SOUTH EAST COMMISSIONING REGION","96623","644651.24","9447508","covid year 1"
"353","2021-01-01","Y60","MIDLANDS COMMISSIONING REGION","126329","741464.26","11255063","covid year 1"
"354","2021-01-01","Y62","NORTH WEST COMMISSIONING REGION","89525","515777.86","7604943","covid year 1"
"355","2021-01-01","Y61","EAST OF ENGLAND COMMISSIONING REGION","83139","541981.29","6993327","covid year 1"
"356","2021-01-01","Y63","NORTH EAST AND YORKSHIRE COMMISSIONING REGION","113729","637991.58","9069765","covid year 1"
"357","2021-01-01","Y58","SOUTH WEST COMMISSIONING REGION","74767","451674.47","5908904","covid year 1"
"358","2021-02-01","Y56","LONDON COMMISSIONING REGION","54354","389907.99","10328775","covid year 1"
"359","2021-02-01","Y59","SOUTH EAST COMMISSIONING REGION","85252","599443.97","9448439","covid year 1"
"360","2021-02-01","Y60","MIDLANDS COMMISSIONING REGION","112697","686344.63","11257254","covid year 1"
"361","2021-02-01","Y61","EAST OF ENGLAND COMMISSIONING REGION","72293","485581.81","6993611","covid year 1"
"362","2021-02-01","Y62","NORTH WEST COMMISSIONING REGION","79434","488353.14","7607646","covid year 1"
"363","2021-02-01","Y58","SOUTH WEST COMMISSIONING REGION","66296","409891.36","5912662","covid year 1"
"364","2021-02-01","Y63","NORTH EAST AND YORKSHIRE COMMISSIONING REGION","102325","597809.72","9069410","covid year 1"
"365","2021-03-01","Y56","LONDON COMMISSIONING REGION","60919","435550.12","10341195","covid year 1"
"366","2021-03-01","Y59","SOUTH EAST COMMISSIONING REGION","96827","668165","9451815","covid year 1"
"367","2021-03-01","Y60","MIDLANDS COMMISSIONING REGION","128031","775574.96","11259704","covid year 1"
"368","2021-03-01","Y61","EAST OF ENGLAND COMMISSIONING REGION","81835","570873.08","6996411","covid year 1"
"369","2021-03-01","Y62","NORTH WEST COMMISSIONING REGION","90628","540539.98","7611750","covid year 1"
"370","2021-03-01","Y58","SOUTH WEST COMMISSIONING REGION","75908","460643.67","5917594","covid year 1"
"371","2021-03-01","Y63","NORTH EAST AND YORKSHIRE COMMISSIONING REGION","118004","685905.42","9071317","covid year 1"
"372","2021-04-01","Y56","LONDON COMMISSIONING REGION","59711","437427.56","10375347","covid year 2"
"373","2021-04-01","Y59","SOUTH EAST COMMISSIONING REGION","93376","650439.43","9465158","covid year 2"
"374","2021-04-01","Y60","MIDLANDS COMMISSIONING REGION","124696","768963.78","11271487","covid year 2"
"375","2021-04-01","Y61","EAST OF ENGLAND COMMISSIONING REGION","79033","545054.04","7007243","covid year 2"
"376","2021-04-01","Y62","NORTH WEST COMMISSIONING REGION","88453","539278.23","7621017","covid year 2"
"377","2021-04-01","Y63","NORTH EAST AND YORKSHIRE COMMISSIONING REGION","112388","673189.25","9076723","covid year 2"
"378","2021-04-01","Y58","SOUTH WEST COMMISSIONING REGION","75436","469090.12","5926083","covid year 2"
"379","2021-05-01","Y56","LONDON COMMISSIONING REGION","58145","415797.35","10394044","covid year 2"
"380","2021-05-01","Y59","SOUTH EAST COMMISSIONING REGION","92505","660459.17","9473549","covid year 2"
"381","2021-05-01","Y60","MIDLANDS COMMISSIONING REGION","123865","749741.66","11278689","covid year 2"
"382","2021-05-01","Y61","EAST OF ENGLAND COMMISSIONING REGION","78508","547674.05","7013817","covid year 2"
"383","2021-05-01","Y62","NORTH WEST COMMISSIONING REGION","88446","528801.42","7626560","covid year 2"
"384","2021-05-01","Y63","NORTH EAST AND YORKSHIRE COMMISSIONING REGION","111507","666274.61","9079234","covid year 2"
"385","2021-05-01","Y58","SOUTH WEST COMMISSIONING REGION","74516","457121.01","5932018","covid year 2"
"386","2021-06-01","Y56","LONDON COMMISSIONING REGION","64017","463031.28","10416804","covid year 2"
"387","2021-06-01","Y59","SOUTH EAST COMMISSIONING REGION","100503","690498.2","9482622","covid year 2"
"388","2021-06-01","Y60","MIDLANDS COMMISSIONING REGION","136330","820902.93","11286685","covid year 2"
"389","2021-06-01","Y62","NORTH WEST COMMISSIONING REGION","93781","580169.63","7632382","covid year 2"
"390","2021-06-01","Y61","EAST OF ENGLAND COMMISSIONING REGION","86734","584237.35","7022099","covid year 2"
"391","2021-06-01","Y63","NORTH EAST AND YORKSHIRE COMMISSIONING REGION","121891","721501","9081884","covid year 2"
"392","2021-06-01","Y58","SOUTH WEST COMMISSIONING REGION","80054","495197.19","5937337","covid year 2"
"393","2021-07-01","Y56","LONDON COMMISSIONING REGION","63534","435805.03","10460704","covid year 2"
"394","2021-07-01","Y59","SOUTH EAST COMMISSIONING REGION","99795","672614.11","9497446","covid year 2"
"395","2021-07-01","Y60","MIDLANDS COMMISSIONING REGION","135229","782507.81","11297896","covid year 2"
"396","2021-07-01","Y61","EAST OF ENGLAND COMMISSIONING REGION","86374","569280.77","7035175","covid year 2"
"397","2021-07-01","Y62","NORTH WEST COMMISSIONING REGION","94007","542835.83","7643465","covid year 2"
"398","2021-07-01","Y63","NORTH EAST AND YORKSHIRE COMMISSIONING REGION","120738","662583.01","9088394","covid year 2"
"399","2021-07-01","Y58","SOUTH WEST COMMISSIONING REGION","80014","480307.58","5945975","covid year 2"
"400","2021-08-01","Y56","LONDON COMMISSIONING REGION","58277","403312.68","10484991","covid year 2"
"401","2021-08-01","Y59","SOUTH EAST COMMISSIONING REGION","92506","627978.29","9505984","covid year 2"
"402","2021-08-01","Y60","MIDLANDS COMMISSIONING REGION","126046","746546.53","11304284","covid year 2"
"403","2021-08-01","Y61","EAST OF ENGLAND COMMISSIONING REGION","79827","520764.07","7045200","covid year 2"
"404","2021-08-01","Y62","NORTH WEST COMMISSIONING REGION","86957","509950.46","7650233","covid year 2"
"405","2021-08-01","Y58","SOUTH WEST COMMISSIONING REGION","73316","440049.96","5950970","covid year 2"
"406","2021-08-01","Y63","NORTH EAST AND YORKSHIRE COMMISSIONING REGION","114114","633528.56","9089697","covid year 2"
"407","2021-09-01","Y56","LONDON COMMISSIONING REGION","64299","435958.61","10501848","covid year 2"
"408","2021-09-01","Y59","SOUTH EAST COMMISSIONING REGION","101772","655173.29","9514059","covid year 2"
"409","2021-09-01","Y61","EAST OF ENGLAND COMMISSIONING REGION","87308","561032.38","7053560","covid year 2"
"410","2021-09-01","Y60","MIDLANDS COMMISSIONING REGION","141800","778749.32","11312114","covid year 2"
"411","2021-09-01","Y62","NORTH WEST COMMISSIONING REGION","99929","554154.84","7657928","covid year 2"
"412","2021-09-01","Y58","SOUTH WEST COMMISSIONING REGION","80840","506034.17","5955856","covid year 2"
"413","2021-09-01","Y63","NORTH EAST AND YORKSHIRE COMMISSIONING REGION","127072","706432.96","9089751","covid year 2"
"414","2021-10-01","Y56","LONDON COMMISSIONING REGION","67027","408879.65","10528260","covid year 2"
"415","2021-10-01","Y59","SOUTH EAST COMMISSIONING REGION","106166","608091.81","9527034","covid year 2"
"416","2021-10-01","Y60","MIDLANDS COMMISSIONING REGION","145570","732919.42","11336682","covid year 2"
"417","2021-10-01","Y61","EAST OF ENGLAND COMMISSIONING REGION","91142","527313.8","7057933","covid year 2"
"418","2021-10-01","Y62","NORTH WEST COMMISSIONING REGION","105481","522288.61","7670728","covid year 2"
"419","2021-10-01","Y58","SOUTH WEST COMMISSIONING REGION","82615","448358.76","5966996","covid year 2"
"420","2021-10-01","Y63","NORTH EAST AND YORKSHIRE COMMISSIONING REGION","132901","643464.44","9105446","covid year 2"
